code,year,che_gdp,che_pc_usd,che,gghed,pvtd,ext,dom_che,gghed_che,pvtd_che,oops_che,vpp_che,gghed_gdp,gghed_gge,gghed_pc_usd,pvtd_pc_usd,oop_pc_usd,cfa_che,gfa_che,vfa_che,vhi_che,gge_gdp,gdp_pc_usd,fs,fs1,fs11,fs14,fs5,fs6,fs61,fs62,fs63,fs7,hf,hf1,hf11,hf2,hf21,hf22,hf23,hf3,gdp_ncu_pc,pfc_ncu_pc,gge_ncu_pc,fs_usd_pc,fs1_usd_pc,fs11_usd_pc,fs14_usd_pc,fs5_usd_pc,fs6_usd_pc,fs61_usd_pc,fs62_usd_pc,fs63_usd_pc,hf_usd_pc,hf1_usd_pc,hf11_usd_pc,hf2_usd_pc,hf21_usd_pc,hf22_usd_pc,hf23_usd_pc,hf3_usd_pc,pfc_usd_pc,gge_usd_pc,che_ppp_pc,gghed_ppp_pc,pvtd_ppp_pc,fs_ppp_pc,fs1_ppp_pc,fs11_ppp_pc,fs14_ppp_pc,fs5_ppp_pc,fs6_ppp_pc,fs61_ppp_pc,fs62_ppp_pc,fs63_ppp_pc,hf_ppp_pc,hf1_ppp_pc,hf11_ppp_pc,hf2_ppp_pc,hf21_ppp_pc,hf22_ppp_pc,hf23_ppp_pc,hf3_ppp_pc,gdp_ppp_pc,pfc_ppp_pc,gge_ppp_pc,pvtd_gdp,fs_gdp,fs1_gdp,fs11_gdp,fs5_gdp,fs6_gdp,fs61_gdp,fs62_gdp,hf_gdp,hf1_gdp,hf11_gdp,hf2_gdp,hf21_gdp,hf22_gdp,hf23_gdp,hf3_gdp,pfc_gdp,fs1_gge,fs11_gge,fs14_gge,hf11_gge,fs1_che,fs11_che,fs14_che,fs5_che,fs6_che,fs61_che,fs62_che,fs63_che,hf1_che,hf11_che,hf2_che,hf21_che,hf22_che,hf23_che,hf3_che,che_ncu2022,gghed_ncu2022,pvtd_ncu2022,ext_ncu2022,fs_ncu2022,fs1_ncu2022,fs11_ncu2022,fs14_ncu2022,fs5_ncu2022,fs6_ncu2022,fs61_ncu2022,fs62_ncu2022,fs63_ncu2022,fs7_ncu2022,hf_ncu2022,hf1_ncu2022,hf11_ncu2022,hf2_ncu2022,hf21_ncu2022,hf22_ncu2022,hf23_ncu2022,hf3_ncu2022,gdp_ncu2022,pfc_ncu2022,gge_ncu2022,che_usd2022,gghed_usd2022,pvtd_usd2022,ext_usd2022,fs_usd2022,fs1_usd2022,fs11_usd2022,fs14_usd2022,fs5_usd2022,fs6_usd2022,fs61_usd2022,fs62_usd2022,fs63_usd2022,fs7_usd2022,hf_usd2022,hf1_usd2022,hf11_usd2022,hf2_usd2022,hf21_usd2022,hf22_usd2022,hf23_usd2022,hf2nec_usd2022,hf3_usd2022,gdp_usd2022,pfc_usd2022,gge_usd2022,che_ncu2022_pc,gghed_ncu2022_pc,pvtd_ncu2022_pc,fs_ncu2022_pc,fs1_ncu2022_pc,fs11_ncu2022_pc,fs14_ncu2022_pc,fs5_ncu2022_pc,fs6_ncu2022_pc,fs61_ncu2022_pc,fs62_ncu2022_pc,fs63_ncu2022_pc,hf_ncu2022_pc,hf1_ncu2022_pc,hf11_ncu2022_pc,hf2_ncu2022_pc,hf21_ncu2022_pc,hf22_ncu2022_pc,hf23_ncu2022_pc,hf3_ncu2022_pc,gdp_ncu2022_pc,pfc_ncu2022_pc,gge_ncu2022_pc,che_usd2022_pc,gghed_usd2022_pc,pvtd_usd2022_pc,fs_usd2022_pc,fs1_usd2022_pc,fs11_usd2022_pc,fs14_usd2022_pc,fs5_usd2022_pc,fs6_usd2022_pc,fs61_usd2022_pc,fs62_usd2022_pc,fs63_usd2022_pc,hf_usd2022_pc,hf1_usd2022_pc,hf11_usd2022_pc,hf2_usd2022_pc,hf21_usd2022_pc,hf22_usd2022_pc,hf23_usd2022_pc,hf3_usd2022_pc,pfc_usd2022_pc,gge_usd2022_pc
GBR,2010,9.79,3892.38,157467.36,129295.26,28159.60,12.50,99.99,82.11,17.88,13.07,3.59,8.04,17.01,3196.00,696.07,508.65,81.67,81.67,18.33,3.59,47.25,39761.26,157467.36,129295.26,128429.82,865.44,5646.38,22513.22,21586.07,837.48,89.66,12.50,157467.36,128609.52,128609.52,8280.07,5646.38,2014.68,619.00,20577.77,25732.65,16431.18,12159.55,3892.38,3196.00,3174.61,21.39,139.57,556.50,533.58,20.70,2.22,3892.38,3179.05,3179.05,204.67,139.57,49.80,15.30,508.65,25388.92,18788.55,3586.55,2944.89,641.38,3586.55,2944.89,2925.18,19.71,128.60,512.77,491.66,19.07,2.04,3586.55,2929.27,2929.27,188.59,128.60,45.89,14.10,468.69,36637.20,23394.10,17312.32,1.75,9.79,8.04,7.98,0.35,1.40,1.34,0.05,9.79,8.00,8.00,0.51,0.35,0.13,0.04,1.28,63.85,17.01,16.90,0.11,16.92,82.11,81.56,0.55,3.59,14.30,13.71,0.53,0.06,81.67,81.67,5.26,3.59,1.28,0.39,13.07,203004.51,166685.47,36302.93,16.11,203004.51,166685.47,165569.75,1115.72,7279.23,29023.69,27828.43,1079.67,115.59,16.11,203004.51,165801.43,165801.43,10674.53,7279.23,2597.30,798.01,26528.55,2073721.91,1324142.23,979904.13,250220.64,205454.28,44746.50,19.86,250220.64,205454.28,204079.06,1375.22,8972.28,35774.22,34300.95,1330.79,142.48,19.86,250220.64,204364.62,204364.62,13157.29,8972.28,3201.39,983.61,,32698.73,2556041.87,1632119.99,1207816.72,3247.54,2666.53,580.75,3247.54,2666.53,2648.68,17.85,116.45,464.30,445.18,17.27,1.85,3247.54,2652.39,2652.39,170.76,116.45,41.55,12.77,424.39,33174.14,21182.82,15675.91,4002.88,3286.73,715.83,4002.88,3286.73,3264.73,22.00,143.53,572.29,548.73,21.29,2.28,4002.88,3269.30,3269.30,210.48,143.53,51.21,15.74,523.09,26109.66,19321.92
GBR,2011,9.80,4140.36,162860.92,133375.34,29471.48,14.11,99.99,81.90,18.10,13.22,3.58,8.02,17.56,3390.76,749.24,547.16,81.41,81.41,18.59,3.58,45.68,42267.51,162860.92,133375.34,132398.42,976.92,5831.71,23639.76,22660.51,878.03,101.21,14.11,162860.92,132583.68,132583.68,8754.90,5831.71,2274.18,649.00,21522.34,26380.88,16874.38,12051.52,4140.36,3390.76,3365.92,24.84,148.26,600.99,576.09,22.32,2.57,4140.36,3370.63,3370.63,222.57,148.26,57.82,16.50,547.16,27036.16,19308.96,3660.03,2997.39,662.32,3660.03,2997.39,2975.43,21.95,131.06,531.26,509.26,19.73,2.27,3660.03,2979.60,2979.60,196.75,131.06,51.11,14.59,483.68,37363.94,23899.62,17068.88,1.77,9.80,8.02,7.96,0.35,1.42,1.36,0.05,9.80,7.97,7.97,0.53,0.35,0.14,0.04,1.29,63.96,17.56,17.43,0.13,17.46,81.90,81.30,0.60,3.58,14.52,13.91,0.54,0.06,81.41,81.41,5.38,3.58,1.40,0.40,13.22,205459.91,168261.88,37180.23,17.80,205459.90,168261.88,167029.43,1232.45,7357.10,29823.13,28587.75,1107.70,127.68,17.80,205459.90,167263.15,167263.15,11044.89,7357.10,2869.04,818.76,27151.86,2097468.14,1341633.26,958181.34,253247.14,207397.34,45827.86,21.94,253247.13,207397.34,205878.24,1519.10,9068.26,36759.59,35236.88,1365.33,157.38,21.94,253247.13,206166.32,206166.32,13613.78,9068.26,3536.33,1009.19,,33467.03,2585311.15,1653679.21,1181041.49,3260.10,2669.87,589.95,3260.10,2669.87,2650.31,19.56,116.74,473.21,453.61,17.58,2.03,3260.10,2654.02,2654.02,175.25,116.74,45.52,12.99,430.83,33281.24,21288.15,15203.79,4018.36,3290.84,727.17,4018.36,3290.84,3266.74,24.10,143.89,583.28,559.12,21.66,2.50,4018.36,3271.31,3271.31,216.01,143.89,56.11,16.01,531.03,26239.49,18739.99
GBR,2012,9.89,4217.25,169513.84,137344.65,32153.79,15.41,99.99,81.02,18.97,14.11,3.53,8.01,17.61,3416.93,799.94,595.23,80.51,80.51,19.49,3.53,45.50,42634.63,169513.84,137344.65,136277.79,1066.86,5979.13,26174.65,25168.64,895.48,110.53,15.41,169513.84,136467.47,136467.47,9120.70,5979.13,2483.57,658.00,23925.68,26989.73,17324.98,12280.97,4217.25,3416.93,3390.38,26.54,148.75,651.19,626.16,22.28,2.75,4217.25,3395.10,3395.10,226.91,148.75,61.79,16.37,595.23,27367.60,19399.77,3805.00,3082.91,721.74,3805.00,3082.91,3058.96,23.95,134.21,587.53,564.95,20.10,2.48,3805.00,3063.22,3063.22,204.73,134.21,55.75,14.77,537.05,38466.96,24692.33,17503.38,1.88,9.89,8.01,7.95,0.35,1.53,1.47,0.05,9.89,7.96,7.96,0.53,0.35,0.14,0.04,1.40,64.19,17.61,17.48,0.14,17.50,81.02,80.39,0.63,3.53,15.44,14.85,0.53,0.07,80.51,80.51,5.38,3.53,1.47,0.39,14.11,210612.11,170643.56,39949.40,19.14,210612.11,170643.56,169318.04,1325.52,7428.76,32520.64,31270.73,1112.59,137.33,19.14,210612.11,169553.71,169553.71,11331.99,7428.76,3085.70,817.53,29726.41,2129201.50,1366755.99,968837.22,259597.67,210332.97,49241.10,23.60,259597.66,210332.97,208699.16,1633.82,9156.59,40084.51,38543.88,1371.36,169.27,23.60,259597.66,208989.63,208989.63,13967.66,9156.59,3803.40,1007.68,,36640.37,2624425.28,1684645.14,1194175.79,3316.98,2687.51,629.17,3316.98,2687.51,2666.63,20.88,117.00,512.18,492.49,17.52,2.16,3316.98,2670.34,2670.34,178.47,117.00,48.60,12.88,468.17,33533.33,21525.38,15258.46,4088.47,3312.59,775.51,4088.47,3312.59,3286.86,25.73,144.21,631.30,607.04,21.60,2.67,4088.47,3291.43,3291.43,219.98,144.21,59.90,15.87,577.06,26531.90,18807.37
GBR,2013,9.98,4348.29,177748.20,141436.82,36294.08,17.30,99.99,79.57,20.42,15.62,3.44,7.94,18.14,3459.99,887.87,679.09,79.01,79.01,20.99,3.44,43.77,43577.76,177748.20,141436.82,140238.91,1197.91,6118.69,30175.39,29155.41,895.87,124.11,17.30,177748.20,140434.10,140434.10,9554.33,6118.69,2788.64,647.00,27759.76,27874.99,18043.75,12201.36,4348.29,3459.99,3430.69,29.30,149.68,738.19,713.23,21.92,3.04,4348.29,3435.47,3435.47,233.73,149.68,68.22,15.83,679.09,28208.30,19074.73,4000.63,3183.36,816.88,4000.63,3183.36,3156.40,26.96,137.72,679.17,656.21,20.16,2.79,4000.63,3160.79,3160.79,215.04,137.72,62.76,14.56,624.80,40093.60,25952.97,17549.65,2.04,9.98,7.94,7.87,0.34,1.69,1.64,0.05,9.98,7.88,7.88,0.54,0.34,0.16,0.04,1.56,64.73,18.14,17.99,0.15,18.01,79.57,78.90,0.67,3.44,16.98,16.40,0.50,0.07,79.01,79.01,5.38,3.44,1.57,0.36,15.62,216264.41,172084.73,44158.63,21.05,216264.41,172084.73,170627.25,1457.49,7444.54,36714.08,35473.09,1089.99,151.00,21.05,216264.41,170864.73,170864.73,11624.65,7444.54,3392.91,787.20,33775.02,2167363.65,1402955.20,948691.92,266564.62,212109.34,54429.34,25.94,266564.61,212109.34,210312.86,1796.48,9176.04,45253.29,43723.66,1343.51,186.12,25.94,266564.61,210605.58,210605.58,14328.39,9176.04,4182.06,970.29,,41630.64,2671463.43,1729263.81,1169344.97,3384.14,2692.81,691.00,3384.14,2692.81,2670.00,22.81,116.49,574.51,555.09,17.06,2.36,3384.14,2673.72,2673.72,181.90,116.49,53.09,12.32,528.52,33915.22,21953.65,14845.27,4171.24,3319.12,851.72,4171.24,3319.12,3291.01,28.11,143.59,708.13,684.19,21.02,2.91,4171.24,3295.59,3295.59,224.21,143.59,65.44,15.18,651.44,27059.77,18298.08
GBR,2014,9.90,4716.30,184445.88,147863.65,36564.50,17.72,99.99,80.17,19.82,15.08,3.42,7.94,18.43,3780.89,934.96,711.29,79.60,79.60,20.40,3.42,43.08,47624.70,184445.87,147863.65,146636.41,1227.24,6308.68,30255.82,29247.08,881.60,127.15,17.72,184445.87,146819.02,146819.02,9809.59,6308.68,2856.91,644.00,27817.26,28942.96,18627.24,12469.53,4716.30,3780.89,3749.51,31.38,161.31,773.64,747.85,22.54,3.25,4716.30,3754.18,3754.18,250.83,161.31,73.05,16.47,711.29,30650.51,20518.20,4103.75,3289.83,813.53,4103.75,3289.83,3262.52,27.30,140.36,673.16,650.72,19.61,2.83,4103.75,3266.59,3266.59,218.25,140.36,63.56,14.33,618.91,41439.19,26669.62,17853.29,1.96,9.90,7.94,7.87,0.34,1.62,1.57,0.05,9.90,7.88,7.88,0.53,0.34,0.15,0.03,1.49,64.36,18.43,18.27,0.15,18.30,80.17,79.50,0.67,3.42,16.40,15.86,0.48,0.07,79.60,79.60,5.32,3.42,1.55,0.35,15.08,221494.60,177564.28,43909.03,21.28,221494.59,177564.28,176090.54,1473.75,7575.87,36333.16,35121.79,1058.68,152.68,21.28,221494.59,176309.82,176309.82,11779.99,7575.87,3430.76,773.36,33404.78,2236627.87,1439458.86,963608.90,273011.27,218863.36,54121.68,26.23,273011.27,218863.36,217046.84,1816.52,9337.92,44783.76,43290.65,1304.91,188.20,26.23,273011.27,217317.13,217317.13,14519.86,9337.92,4228.71,953.23,,41174.28,2756837.59,1774257.73,1187731.44,3441.97,2759.30,682.33,3441.97,2759.30,2736.40,22.90,117.73,564.61,545.78,16.45,2.37,3441.97,2739.81,2739.81,183.06,117.73,53.31,12.02,519.10,34756.58,22368.79,14974.22,4242.52,3401.08,841.04,4242.52,3401.08,3372.85,28.23,145.11,695.93,672.72,20.28,2.92,4242.52,3377.05,3377.05,225.63,145.11,65.71,14.81,639.84,27571.48,18457.02
GBR,2015,9.84,4440.74,188506.95,151541.43,36946.07,19.45,99.99,80.39,19.60,14.94,3.29,7.91,18.66,3569.93,870.35,663.56,79.77,79.77,20.23,3.29,42.37,45146.65,188506.96,151541.43,150194.64,1346.80,6203.09,30742.98,29736.88,866.57,139.53,19.45,188506.96,150362.86,150362.86,9976.33,6203.09,3135.24,638.00,28167.77,29550.51,18940.03,12519.58,4440.74,3569.93,3538.20,31.73,146.13,724.23,700.52,20.41,3.29,4440.74,3542.16,3542.16,235.02,146.13,73.86,15.03,663.56,28936.17,19127.14,4197.04,3374.01,822.59,4197.04,3374.01,3344.03,29.99,138.11,684.48,662.08,19.29,3.11,4197.04,3347.77,3347.77,222.12,138.11,69.80,14.20,627.15,42669.08,27348.21,18077.48,1.93,9.84,7.91,7.84,0.32,1.60,1.55,0.05,9.84,7.85,7.85,0.52,0.32,0.16,0.03,1.47,64.09,18.66,18.50,0.17,18.52,80.39,79.68,0.71,3.29,16.31,15.77,0.46,0.07,79.77,79.77,5.29,3.29,1.66,0.34,14.94,224884.93,180785.83,44075.90,23.20,224884.94,180785.83,179179.13,1606.70,7400.16,36675.75,35475.49,1033.80,166.46,23.20,224884.94,179379.81,179379.81,11901.56,7400.16,3740.28,761.12,33603.57,2286286.79,1465366.57,968624.21,277190.16,222834.19,54327.37,28.60,277190.17,222834.19,220853.79,1980.40,9121.34,45206.03,43726.61,1274.24,205.17,28.60,277190.17,221101.15,221101.15,14669.70,9121.34,4610.21,938.15,,41419.31,2818046.51,1806191.22,1193913.24,3467.59,2787.61,679.62,3467.59,2787.61,2762.83,24.77,114.11,565.52,547.01,15.94,2.57,3467.59,2765.93,2765.93,183.51,114.11,57.67,11.74,518.15,35253.16,22595.06,14935.60,4274.10,3435.97,837.70,4274.10,3435.97,3405.43,30.54,140.65,697.05,674.24,19.65,3.16,4274.10,3409.25,3409.25,226.20,140.65,71.09,14.47,638.66,27850.37,18409.42
GBR,2016,9.77,4016.64,194493.48,157520.18,36951.39,21.91,99.99,80.99,19.00,14.74,2.82,7.91,19.02,3253.07,763.11,592.24,80.30,80.30,19.70,2.82,41.57,41131.04,194493.49,157520.18,156002.77,1517.41,5493.02,31458.37,30445.35,855.82,157.21,21.91,194493.49,156170.60,156170.60,9645.44,5493.02,3532.42,620.00,28677.45,30463.05,19722.60,12664.24,4016.64,3253.07,3221.74,31.34,113.44,649.67,628.75,17.67,3.25,4016.64,3225.20,3225.20,199.20,113.44,72.95,12.80,592.24,26629.35,17099.19,4320.14,3498.88,820.77,4320.14,3498.88,3465.17,33.71,122.01,698.76,676.26,19.01,3.49,4320.14,3468.90,3468.90,214.25,122.01,78.46,13.77,636.99,44238.91,28641.47,18391.21,1.86,9.77,7.91,7.83,0.28,1.58,1.53,0.04,9.77,7.84,7.84,0.48,0.28,0.18,0.03,1.44,64.74,19.02,18.84,0.18,18.86,80.99,80.21,0.78,2.82,16.17,15.65,0.44,0.08,80.30,80.30,4.96,2.82,1.82,0.32,14.74,227555.73,184297.28,43232.81,25.64,227555.74,184297.28,182521.92,1775.36,6426.79,36806.03,35620.80,1001.30,183.93,25.64,227555.74,182718.28,182718.28,11285.08,6426.79,4132.90,725.39,33552.38,2330207.82,1508639.75,968724.92,280482.15,227162.36,53288.18,31.60,280482.16,227162.36,224974.08,2188.29,7921.57,45366.62,43905.72,1234.19,226.71,31.60,280482.16,225216.10,225216.10,13909.84,7921.57,5094.16,894.11,,41356.21,2872182.97,1859529.17,1194037.38,3480.56,2818.90,661.26,3480.56,2818.90,2791.75,27.15,98.30,562.96,544.84,15.32,2.81,3480.56,2794.75,2794.75,172.61,98.30,63.21,11.10,513.20,35641.51,23075.28,14817.06,4290.09,3474.54,815.07,4290.09,3474.54,3441.07,33.47,121.16,693.90,671.56,18.88,3.47,4290.09,3444.78,3444.78,212.76,121.16,77.92,13.68,632.56,28442.28,18263.30
GBR,2017,9.60,3907.82,199921.78,161034.99,38861.50,25.29,99.99,80.55,19.44,14.89,3.01,7.73,18.80,3147.71,759.62,581.71,79.76,79.76,20.24,3.01,41.13,40705.77,199921.78,161034.99,159283.52,1751.47,6008.77,32852.72,31800.65,870.61,181.46,25.29,199921.78,159452.65,159452.65,10709.05,6008.77,4077.27,623.00,29760.07,31627.45,20304.33,13008.13,3907.82,3147.71,3113.48,34.24,117.45,642.16,621.60,17.02,3.55,3907.82,3116.78,3116.78,209.33,117.45,79.70,12.18,581.71,26132.47,16741.97,4435.12,3572.45,862.11,4435.12,3572.45,3533.59,38.86,133.30,728.81,705.47,19.31,4.03,4435.12,3537.34,3537.34,237.57,133.30,90.45,13.82,660.21,46198.36,29658.63,19001.04,1.87,9.60,7.73,7.65,0.29,1.58,1.53,0.04,9.60,7.66,7.66,0.51,0.29,0.20,0.03,1.43,64.20,18.80,18.60,0.20,18.62,80.55,79.67,0.88,3.01,16.43,15.91,0.44,0.09,79.76,79.76,5.36,3.01,2.04,0.31,14.89,229643.37,184975.43,44638.89,29.05,229643.36,184975.43,182963.58,2011.85,6902.07,37736.81,36528.33,1000.04,208.43,29.05,229643.36,183157.86,183157.86,12301.12,6902.07,4683.43,715.62,34184.39,2392076.45,1535675.81,983842.84,283055.34,227998.24,55021.29,35.81,283055.34,227998.24,225518.46,2479.78,8507.40,46513.88,45024.33,1232.64,256.91,35.81,283055.34,225757.92,225757.92,15162.20,8507.40,5772.73,882.06,,42135.22,2948441.41,1892853.45,1212671.52,3487.68,2809.29,677.95,3487.68,2809.29,2778.74,30.55,104.82,573.12,554.77,15.19,3.17,3487.68,2781.69,2781.69,186.82,104.82,71.13,10.87,519.17,36329.37,23322.89,14941.99,4298.87,3462.70,835.63,4298.87,3462.70,3425.03,37.66,129.21,706.42,683.80,18.72,3.90,4298.87,3428.67,3428.67,230.27,129.21,87.67,13.40,639.92,28747.48,18417.30
GBR,2018,9.74,4219.49,209599.45,167513.48,42061.02,24.96,99.99,79.92,20.07,15.66,2.94,7.78,19.03,3372.25,846.74,660.65,79.18,79.18,20.82,2.94,40.91,43328.44,209599.45,167513.48,165785.50,1727.97,6172.61,35888.41,34830.61,878.78,179.02,24.96,209599.45,165956.85,165956.85,10825.20,6172.61,4022.59,630.00,32817.40,32476.05,20998.91,13285.61,4219.49,3372.25,3337.46,34.79,124.26,722.48,701.18,17.69,3.60,4219.49,3340.91,3340.91,217.92,124.26,80.98,12.68,660.65,28016.03,17725.21,4598.77,3675.37,922.85,4598.77,3675.37,3637.46,37.91,135.43,787.42,764.21,19.28,3.93,4598.77,3641.22,3641.22,237.51,135.43,88.26,13.82,720.04,47223.19,30534.37,19318.51,1.95,9.74,7.78,7.70,0.29,1.67,1.62,0.04,9.74,7.71,7.71,0.50,0.29,0.19,0.03,1.52,64.66,19.03,18.83,0.20,18.85,79.92,79.10,0.82,2.94,17.12,16.62,0.42,0.09,79.18,79.18,5.16,2.94,1.92,0.30,15.66,236219.52,188788.44,47402.96,28.12,236219.52,188788.44,186841.00,1947.43,6956.56,40446.40,39254.25,990.39,201.76,28.12,236219.52,187034.12,187034.12,12200.05,6956.56,4533.47,710.01,36985.36,2425656.24,1568421.70,992310.54,291161.02,232698.10,58428.25,34.67,291161.02,232698.10,230297.72,2400.38,8574.56,49853.69,48384.27,1220.74,248.69,34.67,291161.02,230535.75,230535.75,15037.61,8574.56,5587.90,875.15,,45587.66,2989831.42,1933215.60,1223108.69,3564.31,2848.62,715.26,3564.31,2848.62,2819.24,29.38,104.97,610.29,592.31,14.94,3.04,3564.31,2822.15,2822.15,184.09,104.97,68.41,10.71,558.07,36600.65,23665.87,14972.94,4393.32,3511.17,881.62,4393.32,3511.17,3474.96,36.22,129.38,752.24,730.07,18.42,3.75,4393.32,3478.55,3478.55,226.90,129.38,84.32,13.21,687.87,29170.23,18455.45
GBR,2019,9.95,4258.63,222361.84,177758.22,44578.71,24.92,99.99,79.94,20.05,15.80,2.87,7.96,19.46,3404.39,853.76,672.78,79.24,79.24,20.76,2.87,40.88,42783.66,222361.84,177758.22,176032.54,1725.68,6371.08,38207.63,37139.33,889.51,178.79,24.92,222361.84,176204.73,176204.73,11028.32,6371.08,4017.24,640.00,35128.79,33518.65,21425.38,13702.42,4258.63,3404.39,3371.34,33.05,122.02,731.75,711.29,17.04,3.42,4258.63,3374.64,3374.64,211.21,122.02,76.94,12.26,672.78,27347.66,17489.96,4982.20,3982.82,998.82,4982.20,3982.82,3944.16,38.67,142.75,856.07,832.14,19.93,4.01,4982.20,3948.01,3948.01,247.10,142.75,90.01,14.34,787.09,50052.86,31994.18,20461.61,2.00,9.95,7.96,7.88,0.29,1.71,1.66,0.04,9.95,7.89,7.89,0.49,0.29,0.18,0.03,1.57,63.92,19.46,19.28,0.19,19.29,79.94,79.16,0.78,2.87,17.18,16.70,0.40,0.08,79.24,79.24,4.96,2.87,1.81,0.29,15.80,245410.56,196183.58,49199.47,27.51,245410.56,196183.58,194279.03,1904.55,7031.47,42168.00,40988.97,981.71,197.32,27.51,245410.56,194469.07,194469.07,12171.45,7031.47,4433.65,706.34,38770.04,2465476.08,1575951.84,1007886.73,302489.77,241813.26,60642.61,33.90,302489.77,241813.26,239465.73,2347.53,8666.89,51975.72,50522.46,1210.05,243.21,33.90,302489.77,239699.97,239699.97,15002.37,8666.89,5464.85,870.62,,47787.43,3038912.82,1942497.15,1242307.69,3682.24,2943.62,738.21,3682.24,2943.62,2915.04,28.58,105.50,632.71,615.01,14.73,2.96,3682.24,2917.89,2917.89,182.63,105.50,66.52,10.60,581.72,36992.99,23646.21,15122.74,4538.68,3628.26,909.91,4538.68,3628.26,3593.04,35.22,130.04,779.86,758.06,18.16,3.65,4538.68,3596.55,3596.55,225.10,130.04,82.00,13.06,717.02,29146.01,18640.08
GBR,2020,11.97,4816.15,251788.09,214083.74,37680.52,23.83,99.99,85.03,14.97,11.45,2.40,10.17,19.37,4094.95,720.75,551.45,84.44,84.44,15.56,2.40,52.53,40250.41,251788.10,214083.74,212433.93,1649.81,6038.36,31642.18,30752.05,719.20,170.92,23.83,251788.10,212601.21,212601.21,10356.98,6038.36,3840.62,478.00,28829.91,31395.31,18591.02,16491.79,4816.15,4094.95,4063.39,31.56,115.50,605.25,588.22,13.76,3.27,4816.15,4066.59,4066.59,198.11,115.50,73.46,9.14,551.45,23834.64,21143.32,5748.91,4888.03,860.33,5748.91,4888.03,4850.36,37.67,137.87,722.46,702.14,16.42,3.90,5748.91,4854.18,4854.18,236.47,137.87,87.69,10.91,658.25,48045.77,28450.73,25238.18,1.79,11.97,10.17,10.10,0.29,1.50,1.46,0.03,11.97,10.10,10.10,0.49,0.29,0.18,0.02,1.37,59.22,19.37,19.22,0.15,19.23,85.03,84.37,0.66,2.40,12.57,12.21,0.29,0.07,84.44,84.44,4.11,2.40,1.53,0.19,11.45,264443.64,224844.17,39574.45,25.02,264443.65,224844.17,223111.44,1732.73,6341.86,33232.60,32297.73,755.35,179.52,25.02,264443.65,223287.13,223287.13,10877.55,6341.86,4033.66,502.03,30278.98,2210055.20,1308704.00,1160929.93,325949.70,277139.91,48778.94,30.84,325949.71,277139.91,275004.17,2135.74,7816.89,40962.06,39809.75,931.04,221.27,30.84,325949.71,275220.72,275220.72,13407.52,7816.89,4971.84,618.79,,37321.46,2724084.47,1613091.03,1430946.70,3945.42,3354.60,590.44,3945.42,3354.60,3328.75,25.85,94.62,495.82,481.87,11.27,2.68,3945.42,3331.37,3331.37,162.29,94.62,60.18,7.49,451.75,32973.33,19525.45,17320.71,4863.07,4134.84,727.77,4863.07,4134.84,4102.98,31.86,116.63,611.14,593.95,13.89,3.30,4863.07,4106.21,4106.21,200.04,116.63,74.18,9.23,556.82,24066.81,21349.27
GBR,2021,12.02,5612.05,274524.25,231459.02,43040.14,25.10,99.99,84.31,15.68,12.39,2.24,10.13,22.09,4731.67,879.86,695.33,83.73,83.73,16.27,2.24,45.88,46693.01,274524.24,231459.02,229721.27,1737.75,6159.46,36880.67,36038.03,662.61,180.04,25.10,274524.24,229868.01,229868.01,10642.79,6159.46,4045.34,438.00,34013.44,33948.86,20352.79,15576.78,5612.05,4731.67,4696.15,35.52,125.92,753.94,736.72,13.55,3.68,5612.05,4699.15,4699.15,217.57,125.92,82.70,8.95,695.33,27993.09,21424.20,6327.11,5334.56,991.97,6327.10,5334.56,5294.51,40.05,141.96,850.01,830.59,15.27,4.15,6327.10,5297.89,5297.89,245.29,141.96,93.24,10.09,783.93,52642.37,31559.81,24153.95,1.88,12.02,10.13,10.06,0.27,1.61,1.58,0.03,12.02,10.06,10.06,0.47,0.27,0.18,0.02,1.49,59.95,22.09,21.92,0.17,21.93,84.31,83.68,0.63,2.24,13.43,13.13,0.24,0.07,83.73,83.73,3.88,2.24,1.47,0.16,12.39,288670.22,243385.88,45257.95,26.39,288670.21,243385.88,241558.58,1827.29,6476.85,38781.10,37895.04,696.75,189.31,26.39,288670.21,241712.89,241712.89,11191.21,6476.85,4253.79,460.57,35766.12,2401775.36,1439896.55,1102008.73,355811.05,299994.17,55784.35,32.53,355811.04,299994.17,297741.88,2252.30,7983.28,47801.06,46708.92,858.80,233.34,32.53,355811.04,297932.07,297932.07,13794.13,7983.28,5243.16,567.69,,44084.84,2960396.17,1774797.21,1358321.21,4290.58,3617.51,672.68,4290.58,3617.51,3590.35,27.16,96.27,576.41,563.24,10.36,2.81,4290.58,3592.64,3592.64,166.34,96.27,63.23,6.85,531.60,35698.21,21401.55,16379.44,5288.51,4458.89,829.14,5288.51,4458.89,4425.41,33.48,118.66,710.48,694.25,12.76,3.47,5288.51,4428.24,4428.24,205.03,118.66,77.93,8.44,655.24,26379.27,20189.08
GBR,2022,11.05,5035.62,276953.78,230055.37,46870.92,27.49,99.99,83.07,16.92,13.29,2.51,9.18,20.67,4182.90,852.21,669.17,82.43,82.43,17.57,2.51,44.42,45567.58,276953.79,230055.37,228151.86,1903.51,6948.80,39922.12,39021.48,703.44,197.21,27.49,276953.79,228289.42,228289.42,11860.61,6948.80,4431.22,480.59,36803.76,36969.07,22900.25,16421.09,5035.62,4182.90,4148.29,34.61,126.34,725.87,709.49,12.79,3.59,5035.62,4150.79,4150.79,215.65,126.34,80.57,8.74,669.17,28226.54,20240.41,6449.47,5357.34,1091.49,6449.47,5357.34,5313.01,44.33,161.82,929.67,908.70,16.38,4.59,6449.47,5316.22,5316.22,276.20,161.82,103.19,11.19,857.06,58361.63,36151.74,25923.34,1.87,11.05,9.18,9.10,0.28,1.59,1.56,0.03,11.05,9.11,9.11,0.47,0.28,0.18,0.02,1.47,61.94,20.67,20.50,0.17,20.51,83.07,82.38,0.69,2.51,14.41,14.09,0.25,0.07,82.43,82.43,4.28,2.51,1.60,0.17,13.29,276953.78,230055.37,46870.92,27.49,276953.79,230055.37,228151.86,1903.51,6948.80,39922.12,39021.48,703.44,197.21,27.49,276953.79,228289.42,228289.42,11860.61,6948.80,4431.22,480.59,36803.76,2506170.00,1552431.00,1113202.00,341369.52,283563.17,57772.47,33.88,341369.53,283563.17,281216.93,2346.24,8565.00,49207.48,48097.35,867.05,243.08,33.88,341369.53,281386.48,281386.48,14619.23,8565.00,5461.86,592.37,,45363.82,3089071.60,1913505.67,1372117.89,4085.41,3393.60,691.40,4085.41,3393.60,3365.52,28.08,102.50,588.90,575.61,10.38,2.91,4085.41,3367.55,3367.55,174.96,102.50,65.37,7.09,542.90,36969.07,22900.25,16421.09,5035.62,4182.90,852.21,5035.62,4182.90,4148.29,34.61,126.34,725.87,709.49,12.79,3.59,5035.62,4150.79,4150.79,215.65,126.34,80.57,8.74,669.17,28226.54,20240.41
